,Date,Winner,Method,Referee,N_rounds,W_round,W_round_time,R_fighter,B_fighter,R_KD,B_KD,R_sub_att,B_sub_att,R_rev,B_rev,R_ctrl,B_ctrl,R_total_str_att,R_total_str_land,B_total_str_att,B_total_str_land,R_TD_att,R_TD_land,B_TD_att,B_TD_land,R_sig_str_att,R_sig_str_land,B_sig_str_att,B_sig_str_land,R_sig_str_head_att,R_sig_str_head_land,B_sig_str_head_att,B_sig_str_head_land,R_sig_str_body_att,R_sig_str_body_land,B_sig_str_body_att,B_sig_str_body_land,R_sig_str_leg_att,R_sig_str_leg_land,B_sig_str_leg_att,B_sig_str_leg_land,R_sig_str_dist_att,R_sig_str_dist_land,B_sig_str_dist_att,B_sig_str_dist_land,R_sig_str_clinch_att,R_sig_str_clinch_land,B_sig_str_clinch_att,B_sig_str_clinch_land,R_sig_str_ground_att,R_sig_str_ground_land,B_sig_str_ground_att,B_sig_str_ground_land
4436,2014-05-10,Soa Palelei,KO/TKO,Keith Peterson,3,1,0 days 00:02:20,Soa Palelei,Ruan Potts,0,0,0,2,0,1,0 days 00:01:41,0 days 00:00:06,21,19,8,5,1,1,0,0,7,5,3,0,7,5,1,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0,6,5,0,0
4437,2014-05-10,Chris Cariaso,Decision - Split,Herb Dean,3,3,0 days 00:05:00,Chris Cariaso,Louis Smolka,0,0,4,0,0,1,0 days 00:02:08,0 days 00:07:33,149,86,135,79,2,2,10,1,124,64,97,42,68,23,70,20,36,22,17,13,20,19,10,9,86,40,60,18,34,23,28,18,4,1,9,6
4438,2014-05-10,Ed Herman,Decision - Unanimous,Jerry Krysz,3,3,0 days 00:05:00,Ed Herman,Rafael Natal,0,0,0,0,0,0,0 days 00:02:58,0 days 00:04:46,117,78,114,71,4,1,6,1,87,51,73,35,54,22,41,15,9,9,17,8,24,20,15,12,51,24,46,19,29,21,11,8,7,6,16,8
4439,2014-05-10,Kyoji Horiguchi,Decision - Unanimous,Gary Copeland,3,3,0 days 00:05:00,Kyoji Horiguchi,Darrell Montague,1,0,0,2,0,0,0 days 00:02:46,0 days 00:00:56,169,82,114,35,2,2,2,1,147,65,105,26,122,51,80,16,22,12,18,5,3,2,7,5,105,38,101,25,4,3,3,1,38,24,1,0
4440,2014-05-10,Zak Cummings,Decision - Unanimous,Keith Peterson,3,3,0 days 00:05:00,Yan Cabral,Zak Cummings,0,0,2,1,1,1,0 days 00:04:07,0 days 00:06:33,59,44,108,50,9,1,3,3,38,23,83,28,36,21,69,17,0,0,7,5,2,2,7,6,23,8,53,12,0,0,5,3,15,15,25,13
4441,2014-05-10,Johnny Eduardo,KO/TKO,Herb Dean,3,1,0 days 00:04:37,Eddie Wineland,Johnny Eduardo,0,1,0,0,0,0,0 days 00:00:00,0 days 00:00:02,56,6,20,11,0,0,3,0,56,6,20,11,53,3,11,3,1,1,1,1,2,2,8,7,56,6,19,10,0,0,1,1,0,0,0,0
4442,2014-05-10,Nik Lentz,Decision - Unanimous,Jerry Krysz,3,3,0 days 00:05:00,Manvel Gamburyan,Nik Lentz,0,0,1,0,1,0,0 days 00:01:22,0 days 00:09:18,86,60,141,90,2,1,16,4,52,28,99,52,41,20,65,23,8,5,23,19,3,3,11,10,28,10,55,20,22,18,34,25,2,0,10,7
4443,2014-05-10,Justin Salas,KO/TKO,Gary Copeland,3,1,0 days 00:02:41,Justin Salas,Ben Wall,1,0,0,0,0,0,0 days 00:00:42,0 days 00:00:00,28,22,15,5,6,0,0,0,26,20,14,4,16,10,11,2,6,6,3,2,4,4,0,0,12,7,11,1,8,7,3,3,6,6,0,0
4444,2014-05-10,Albert Tumenov,KO/TKO,Keith Peterson,3,1,0 days 00:03:56,Anthony Lapsley,Albert Tumenov,0,2,0,0,0,0,0 days 00:00:02,0 days 00:00:01,10,2,21,6,5,0,0,0,10,2,21,6,7,1,21,6,3,1,0,0,0,0,0,0,10,2,18,5,0,0,3,1,0,0,0,0
4445,2014-04-26,Jon Jones,Decision - Unanimous,Dan Miragliotta,5,5,0 days 00:05:00,Jon Jones,Glover Teixeira,0,0,2,0,0,0,0 days 00:05:51,0 days 00:00:00,256,158,204,65,6,3,5,0,236,138,192,53,179,88,154,34,28,25,38,19,29,25,0,0,182,99,135,30,49,37,57,23,5,2,0,0
